,Date,Open,High,Low,Close,Volume,Year,M_num,M_nm,D_num,D_nm,Wk,P_intra,P_day,P_Vol,Ex_trd,PEx_trd
0,1950-01-03,16.65999984741211,16.65999984741211,16.65999984741211,16.65999984741211,1260000,1950,1,January,1,Tuesday,1,0.0,0.0,,,
1,1950-01-04,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,1890000,1950,1,January,2,Wednesday,1,0.0,0.0,50.0,0.1900005340576172,1.1404593985463392
2,1950-01-05,16.93000030517578,16.93000030517578,16.93000030517578,16.93000030517578,2550000,1950,1,January,3,Thursday,1,0.0,0.0,34.92063492063492,0.07999992370605469,0.47477698453960965
3,1950-01-06,16.979999542236328,16.979999542236328,16.979999542236328,16.979999542236328,2010000,1950,1,January,4,Friday,1,0.0,0.0,-21.176470588235293,0.049999237060546875,0.2953292153530634
4,1950-01-09,17.079999923706055,17.079999923706055,17.079999923706055,17.079999923706055,2520000,1950,1,January,0,Monday,2,0.0,0.0,25.37313432835821,0.10000038146972656,0.5889304132251828
5,1950-01-10,17.030000686645508,17.030000686645508,17.030000686645508,17.030000686645508,2160000,1950,1,January,1,Tuesday,2,0.0,0.0,-14.285714285714285,-0.049999237060546875,-0.2927355812873911
6,1950-01-11,17.09000015258789,17.09000015258789,17.09000015258789,17.09000015258789,2630000,1950,1,January,2,Wednesday,2,0.0,0.0,21.75925925925926,0.05999946594238281,0.3523162861022834
7,1950-01-12,16.760000228881836,16.760000228881836,16.760000228881836,16.760000228881836,2970000,1950,1,January,3,Thursday,2,0.0,0.0,12.927756653992395,-0.3299999237060547,-1.9309533104719354
8,1950-01-13,16.670000076293945,16.670000076293945,16.670000076293945,16.670000076293945,3330000,1950,1,January,4,Friday,2,0.0,0.0,12.121212121212121,-0.09000015258789062,-0.5369937431909875
9,1950-01-16,16.719999313354492,16.719999313354492,16.719999313354492,16.719999313354492,1460000,1950,1,January,0,Monday,3,0.0,0.0,-56.15615615615616,0.049999237060546875,0.2999354339035051
10,1950-01-17,16.860000610351562,16.860000610351562,16.860000610351562,16.860000610351562,1790000,1950,1,January,1,Tuesday,3,0.0,0.0,22.602739726027394,0.1400012969970703,0.8373283657090187
11,1950-01-18,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,1570000,1950,1,January,2,Wednesday,3,0.0,0.0,-12.290502793296088,-0.010000228881835938,-0.05931333641646538
12,1950-01-19,16.8700008392334,16.8700008392334,16.8700008392334,16.8700008392334,1170000,1950,1,January,3,Thursday,3,0.0,0.0,-25.477707006369428,0.020000457763671875,0.1186970760289523
13,1950-01-20,16.899999618530273,16.899999618530273,16.899999618530273,16.899999618530273,1440000,1950,1,January,4,Friday,3,0.0,0.0,23.076923076923077,0.029998779296875,0.17782322350043342
14,1950-01-23,16.920000076293945,16.920000076293945,16.920000076293945,16.920000076293945,1340000,1950,1,January,0,Monday,4,0.0,0.0,-6.944444444444445,0.020000457763671875,0.11834590659837681
15,1950-01-24,16.860000610351562,16.860000610351562,16.860000610351562,16.860000610351562,1250000,1950,1,January,1,Tuesday,4,0.0,0.0,-6.7164179104477615,-0.05999946594238281,-0.3546067711101615
16,1950-01-25,16.739999771118164,16.739999771118164,16.739999771118164,16.739999771118164,1700000,1950,1,January,2,Wednesday,4,0.0,0.0,36.0,-0.12000083923339844,-0.7117487241354031
17,1950-01-26,16.729999542236328,16.729999542236328,16.729999542236328,16.729999542236328,1150000,1950,1,January,3,Thursday,4,0.0,0.0,-32.35294117647059,-0.010000228881835938,-0.05973852460314557
18,1950-01-27,16.81999969482422,16.81999969482422,16.81999969482422,16.81999969482422,1250000,1950,1,January,4,Friday,4,0.0,0.0,8.695652173913043,0.09000015258789062,0.537956694862289
